"customer_key","year_birth","education","marital_status","income_group","kidhome","teenhome","dt_customer","age_in_2014","living_situation","is_parent","household_size","generation"
"100004","1981","PhD","Married","Middle Income","1","0","2014-01-19 00:00:00","33","Partner","true","3","Millennial"
"100007","1985","PhD","Married","Low Income","1","0","2013-08-05 00:00:00","29","Partner","true","3","Millennial"
"100010","1983","Graduate","Married","Middle Income","1","0","2013-11-15 00:00:00","31","Partner","true","3","Millennial"
"100011","1976","High School","Married","Low Income","0","0","2012-11-13 00:00:00","38","Partner","false","2","Gen X"
"100014","1987","Graduate","Married","Low Income","0","0","2012-10-10 00:00:00","27","Partner","false","2","Millennial"
"100016","1980","Graduate","Married","Middle Income","1","1","2012-12-24 00:00:00","34","Partner","true","4",""
"100018","1949","Master","Married","Middle Income","0","1","2013-03-28 00:00:00","65","Partner","true","3","Baby Boomer"
"100020","1982","Graduate","Married","Low Income","0","0","2012-08-08 00:00:00","32","Partner","false","2","Millennial"
"100021","1979","Graduate","Married","Low Income","1","0","2013-06-01 00:00:00","35","Partner","true","3","Gen X"
"100022","1949","PhD","Married","Middle Income","0","1","2012-12-23 00:00:00","65","Partner","true","3","Baby Boomer"
"100023","1954","PhD","Married","Middle Income","0","1","2014-11-01 00:00:00","60","Partner","true","3","Baby Boomer"
"100026","1976","Graduate","Married","Middle Income","1","1","2013-05-27 00:00:00","38","Partner","true","4","Gen X"
"100028","1989","Graduate","Married","Low Income","1","0","2013-05-31 00:00:00","25","Partner","true","3","Millennial"
"100029","1965","PhD","Married","High Income","0","0","2013-11-22 00:00:00","49","Partner","false","2","Gen X"
"100034","1946","Master","Married","Middle Income","0","0","2013-02-20 00:00:00","68","Partner","false","2","Baby Boomer"
"100036","1970","PhD","Married","Middle Income","0","1","2013-12-31 00:00:00","44","Partner","true","3","Gen X"
"100037","1976","Undergraduate","Married","Low Income","1","0","2013-02-09 00:00:00","38","Partner","true","3","Gen X"
"100040","1980","Graduate","Married","High Income","0","1","2013-04-29 00:00:00","34","Partner","true","3",""
"100041","1985","Master","Married","Low Income","1","0","2013-12-03 00:00:00","29","Partner","true","3","Millennial"
"100044","1975","Master","Married","Low Income","1","0","2013-02-10 00:00:00","39","Partner","true","3","Gen X"
"100046","1996","Undergraduate","Married","Low Income","0","0","2012-09-11 00:00:00","18","Partner","false","2",""
"100049","1954","PhD","Married","Middle Income","1","1","2012-08-11 00:00:00","60","Partner","true","4","Baby Boomer"
