"customer_key","year_birth","age_in_2014","generation","education","marital_status","living_situation","income","kidhome","teenhome","dt_customer","is_parent","household_size","income_group"
"100004","1981","33","Millennial","PhD","Married","Partner","58293","1","0","2014-01-19 00:00:00","true","3","Middle Income"
"100005","1967","47","Gen X","Master","Together","Partner","62513","0","1","2013-09-09 00:00:00","true","3","Middle Income"
"100007","1985","29","Millennial","PhD","Married","Partner","33454","1","0","2013-08-05 00:00:00","true","3","Low Income"
"100008","1974","40","Gen X","PhD","Together","Partner","30351","1","0","2013-06-06 00:00:00","true","3","Low Income"
"100009","1950","64","Baby Boomer","PhD","Together","Partner","5648","1","1","2014-03-13 00:00:00","true","4","Low Income"
"100013","1952","62","Baby Boomer","Master","Divorced","Alone","59354","1","1","2013-11-15 00:00:00","true","3","Middle Income"
"100015","1946","68","Baby Boomer","PhD","Single","Alone","82800","0","0","2012-11-24 00:00:00","false","1","High Income"
"100018","1949","65","Baby Boomer","Master","Married","Partner","76995","0","1","2013-03-28 00:00:00","true","3","Middle Income"
"100022","1949","65","Baby Boomer","PhD","Married","Partner","58607","0","1","2012-12-23 00:00:00","true","3","Middle Income"
"100023","1954","60","Baby Boomer","PhD","Married","Partner","65324","0","1","2014-11-01 00:00:00","true","3","Middle Income"
"100029","1965","49","Gen X","PhD","Married","Partner","84618","0","0","2013-11-22 00:00:00","false","2","High Income"
"100030","1989","25","Millennial","Master","Divorced","Alone","10979","0","0","2014-05-22 00:00:00","false","1","Low Income"
"100031","1963","51","Baby Boomer","Master","Together","Partner","38620","0","0","2013-11-05 00:00:00","false","2","Low Income"
"100033","1952","62","Baby Boomer","PhD","Divorced","Alone","46610","0","2","2012-10-29 00:00:00","true","3","Middle Income"
"100034","1946","68","Baby Boomer","Master","Married","Partner","68657","0","0","2013-02-20 00:00:00","false","2","Middle Income"
"100035","1951","63","Baby Boomer","Master","Single","Alone","49389","1","1","2013-08-29 00:00:00","true","3","Middle Income"
"100036","1970","44","Gen X","PhD","Married","Partner","67353","0","1","2013-12-31 00:00:00","true","3","Middle Income"
"100039","1943","71","Silent Generation","PhD","Divorced","Alone","48948","0","0","2013-01-02 00:00:00","false","1","Middle Income"
"100041","1985","29","Millennial","Master","Married","Partner","20559","1","0","2013-12-03 00:00:00","true","3","Low Income"
"100043","1959","55","Baby Boomer","PhD","Single","Alone","51381","0","0","2013-05-11 00:00:00","false","1","Middle Income"
"100044","1975","39","Gen X","Master","Married","Partner","7500","1","0","2013-02-10 00:00:00","true","3","Low Income"
"100049","1954","60","Baby Boomer","PhD","Married","Partner","72550","1","1","2012-08-11 00:00:00","true","4","Middle Income"
"100051","1964","50","","Master","Married","Partner","79143","0","0","2012-11-08 00:00:00","false","2","Middle Income"
"100055","1955","59","Baby Boomer","Master","Together","Partner","82384","0","0","2012-11-19 00:00:00","false","2","High Income"
"100059","1968","46","Gen X","PhD","Married","Partner","55954","0","1","2014-03-03 00:00:00","true","3","Middle Income"
"100060","1982","32","Millennial","Master","Single","Alone","75777","0","0","2013-04-07 00:00:00","false","1","Middle Income"
"100063","1951","63","Baby Boomer","PhD","Widow","Alone","67680","0","1","2013-11-06 00:00:00","true","2","Middle Income"
"100070","1954","60","Baby Boomer","Master","Married","Partner","66991","0","0","2012-11-09 00:00:00","false","2","Middle Income"
"100073","1975","39","Gen X","PhD","Married","Partner","60631","1","1","2013-05-04 00:00:00","true","4","Middle Income"
"100076","1972","42","Gen X","Master","Married","Partner","75251","0","0","2012-08-27 00:00:00","false","2","Middle Income"
"100085","1970","44","Gen X","Master","Married","Partner","36138","1","1","2013-07-16 00:00:00","true","4","Low Income"
"100089","1957","57","Baby Boomer","PhD","Married","Partner","51381","2","1","2012-11-19 00:00:00","true","5","Middle Income"
"100091","1973","41","Gen X","Master","Together","Partner","51381","0","0","2013-11-23 00:00:00","false","2","Middle Income"
"100092","1972","42","Gen X","Master","Single","Alone","42394","1","0","2014-03-23 00:00:00","true","2","Middle Income"
"100093","1970","44","Gen X","PhD","Married","Partner","23626","1","0","2014-05-24 00:00:00","true","3","Low Income"
"100098","1983","31","Millennial","PhD","Married","Partner","50150","0","0","2013-06-20 00:00:00","false","2","Middle Income"
"100100","1959","55","Baby Boomer","PhD","Single","Alone","34554","0","1","2014-03-30 00:00:00","true","2","Low Income"
"100102","1945","69","","PhD","Married","Partner","65846","0","0","2013-05-17 00:00:00","false","2","Middle Income"
