"customer_key","year_birth","education","marital_status","income","household_size","month","customer_count"
"100361","1975","PhD","Single","52614","2","1","176"
"102019","1950","Master","Divorced","38054","3","1","176"
"101614","1947","Graduate","Together","70321","2","1","176"
"101615","1969","PhD","Divorced","58086","2","1","176"
"101640","1984","Undergraduate","Married","65370","2","1","176"
"100181","1984","Master","Married","30477","3","1","176"
"101645","1971","Graduate","Together","34600","4","1","176"
"102003","1957","Graduate","Married","73803","3","1","176"
"100909","1987","PhD","Married","51563","2","1","176"
"100860","1983","Graduate","Married","76630","2","1","176"
"102037","1981","Graduate","Divorced","56981","1","1","176"
"100989","1971","Graduate","Single","91700","1","1","176"
"101666","1992","Graduate","Together","63207","2","1","176"
"100315","1974","Graduate","Married","34421","3","1","176"
"100314","1971","Graduate","Married","64795","3","1","176"
"101129","1961","PhD","Divorced","54959","2","1","176"
"100913","1975","Undergraduate","Divorced","67893","2","1","176"
"100304","1976","Graduate","Divorced","12571","2","1","176"
"100296","1978","PhD","Married","46377","3","1","176"
"100195","1954","Graduate","Married","86718","2","1","176"
"100291","1986","Master","Together","42386","3","1","176"
"100749","1958","PhD","Together","74250","2","1","176"
"101708","1972","PhD","Married","70116","2","1","176"
"100986","1958","PhD","Divorced","32173","2","1","176"
"100916","1973","Master","Divorced","44051","3","1","176"
"101806","1978","Master","Together","85738","2","1","176"
"100985","1987","High School","Single","15038","2","1","176"
"100740","1965","Undergraduate","Married","46891","3","1","176"
"101716","1971","Master","Together","30538","3","1","176"
"101718","1967","PhD","Divorced","26642","2","1","176"
"100287","1971","Graduate","Together","16626","4","1","176"
"101725","1958","Graduate","Married","72905","2","1","176"
"100280","1952","Graduate","Together","75278","2","1","176"
"100277","1974","PhD","Together","65640","3","1","176"
"100210","1974","Master","Together","46014","4","1","176"
"100272","1956","Graduate","Single","60714","1","1","176"
"100212","1977","Graduate","Married","41443","3","1","176"
"101734","1957","PhD","Married","44155","4","1","176"
"101794","1976","Graduate","Together","29478","3","1","176"
"101739","1985","Graduate","Married","31158","3","1","176"
"101749","1968","Graduate","Married","45688","3","1","176"
"101146","1959","Graduate","Married","58113","3","1","176"
"101761","1972","Undergraduate","Married","70932","3","1","176"
"101763","1943","Master","Single","77598","1","1","176"
"101772","1968","Master","Married","29543","4","1","176"
"101780","1950","Graduate","Together","28320","3","1","176"
"100920","1965","Graduate","Married","59754","3","1","176"
"100879","1963","PhD","Widow","52278","2","1","176"
"101974","1957","Graduate","Together","47320","3","1","176"
"101161","1963","Graduate","Single","34377","2","1","176"
"100722","1954","Undergraduate","Married","63564","2","1","176"
"101164","1957","Undergraduate","Divorced","77297","1","1","176"
"100717","1964","Graduate","Married","82224","2","1","176"
"100716","1978","Undergraduate","Together","38702","3","1","176"
"100715","1950","PhD","Single","48767","4","1","176"
"100856","1962","Graduate","Together","51195","4","1","176"
"101181","1984","High School","Single","25707","2","1","176"
"100848","1978","Undergraduate","Together","17117","3","1","176"
"100701","1976","Master","Divorced","75012","1","1","176"
"100699","1976","Graduate","Married","7500","3","1","176"
"101022","1992","Graduate","Single","83528","1","1","176"
"100935","1968","PhD","Together","40706","5","1","176"
"100048","1951","Graduate","Single","51381","4","1","176"
"101966","1976","Graduate","Married","17148","3","1","176"
"101209","1963","Master","Single","64191","2","1","176"
"101215","1964","Graduate","Married","40800","5","1","176"
"100940","1959","Master","Together","82576","2","1","176"
"101240","1979","Graduate","Married","71626","2","1","176"
"101958","1973","Graduate","Single","65333","2","1","176"
"101016","1949","Master","Married","62845","4","1","176"
"101956","1968","Graduate","Divorced","36997","3","1","176"
"101955","1971","Graduate","Married","35788","4","1","176"
"101244","1982","Graduate","Married","65169","2","1","176"
"101246","1960","PhD","Married","65695","3","1","176"
"101252","1965","Graduate","Together","47009","3","1","176"
"101954","1974","Graduate","Divorced","19346","2","1","176"
"101952","1954","Master","Divorced","62637","2","1","176"
"101060","1974","Undergraduate","Married","65463","3","1","176"
"101254","1984","Graduate","Together","37235","3","1","176"
"101063","1983","Undergraduate","Single","81698","1","1","176"
"100642","1956","Master","Together","14661","2","1","176"
"101284","1965","Graduate","Married","69139","3","1","176"
"100626","1970","Graduate","Together","105471","2","1","176"
"100829","1969","Graduate","Together","23228","3","1","176"
"101307","1970","Master","Together","51381","3","1","176"
"100607","1976","Graduate","Married","13624","3","1","176"
"101313","1948","Graduate","Married","92344","2","1","176"
"101335","1944","Graduate","Married","80589","2","1","176"
"100088","1967","Graduate","Together","54178","3","1","176"
"101935","1952","PhD","Together","69805","3","1","176"
"100588","1966","Master","Together","49618","4","1","176"
"101340","1973","Graduate","Married","24639","4","1","176"
"100577","1977","Graduate","Together","33178","3","1","176"
"101353","1986","Undergraduate","Together","20491","2","1","176"
"101362","1957","Graduate","Married","52852","3","1","176"
"101931","1974","Master","Together","43018","3","1","176"
"101374","1950","Master","Widow","64866","2","1","176"
"100097","1951","Undergraduate","Married","78497","2","1","176"
"101381","1970","Graduate","Together","67419","3","1","176"
"100888","1969","Master","Single","39858","2","1","176"
"100561","1968","Graduate","Married","51287","4","1","176"
"100560","1977","PhD","Married","61996","3","1","176"
"100558","1970","PhD","Together","64413","3","1","176"
"100824","1979","Graduate","Single","60474","2","1","176"
"100004","1981","PhD","Married","58293","3","1","176"
"101385","1969","PhD","Married","94871","4","1","176"
"101069","1966","High School","Together","22634","2","1","176"
"100556","1968","PhD","Married","38443","4","1","176"
"101390","1961","PhD","Married","57072","3","1","176"
"101081","1951","Master","Married","67381","3","1","176"
"100815","1970","Graduate","Together","81205","2","1","176"
"102038","1956","Master","Together","69245","3","1","176"
"101031","1981","PhD","Married","87171","2","1","176"
"100548","1970","Undergraduate","Married","62466","3","1","176"
"101983","1975","Graduate","Together","60934","3","1","176"
"100115","1970","Graduate","Married","90765","2","1","176"
"101033","1968","Master","Single","50014","2","1","176"
"101400","1950","PhD","Divorced","42873","3","1","176"
"100541","1978","PhD","Single","54880","2","1","176"
