"customer_key","year_birth","education","marital_status","income","household_size","year"
"100289","1952","Master","Together","55951","3","2012"
"101878","1970","Graduate","Single","76467","2","2012"
"100153","1952","PhD","Together","61010","3","2012"
"100042","1957","Graduate","Together","21994","3","2012"
"101700","1995","Undergraduate","Single","83257","1","2012"
"101431","1958","Graduate","Together","28087","4","2012"
"101695","1975","PhD","Married","86836","2","2012"
"101429","1976","Graduate","Married","58597","4","2012"
"100551","1962","Graduate","Single","66565","2","2012"
"102039","1954","PhD","Married","52869","4","2012"
"101689","1954","PhD","Divorced","57333","2","2012"
"100554","1970","Graduate","Together","38200","4","2012"
"100555","1974","Graduate","Married","44989","3","2012"
"101424","1970","Graduate","Single","27242","2","2012"
"101686","1978","Graduate","Together","41580","4","2012"
"101965","1972","Graduate","Married","69209","2","2012"
"100011","1976","High School","Married","7500","2","2012"
"100300","1966","Graduate","Widow","27038","1","2012"
"101422","1962","Graduate","Married","55759","3","2012"
"101676","1978","Undergraduate","Together","52513","2","2012"
"102015","1963","High School","Together","14918","3","2012"
"101953","1966","Master","Divorced","29435","3","2012"
"100565","1974","PhD","Married","45207","4","2012"
"101664","1963","PhD","Single","46757","2","2012"
"100160","1945","PhD","Married","70356","2","2012"
"101418","1965","Graduate","Married","73538","3","2012"
"101415","1975","Undergraduate","Together","46772","3","2012"
"100570","1955","Graduate","Widow","79800","1","2012"
"101874","1971","Graduate","Married","37150","3","2012"
"101412","1955","PhD","Single","49667","1","2012"
"101948","1980","High School","Married","16005","3","2012"
"100574","1984","PhD","Single","39684","2","2012"
"100575","1975","Master","Married","92163","2","2012"
"101871","1970","Graduate","Single","83273","4","2012"
"101411","1973","Master","Married","54108","4","2012"
"101663","1974","PhD","Single","63159","1","2012"
"101944","1965","PhD","Together","65220","2","2012"
"100580","1969","Graduate","Divorced","23910","2","2012"
"100311","1985","Graduate","Single","66503","2","2012"
"100089","1957","PhD","Married","51381","5","2012"
"100583","1981","Graduate","Together","31089","3","2012"
"101941","1956","Undergraduate","Married","53230","3","2012"
"100585","1960","Graduate","Together","62807","3","2012"
"100046","1996","Undergraduate","Married","7500","2","2012"
"100587","1948","PhD","Married","61467","4","2012"
"101866","1977","Graduate","Married","75330","4","2012"
"100589","1986","Master","Single","21888","2","2012"
"101657","1974","Graduate","Together","75702","3","2012"
"100591","1975","High School","Married","30801","3","2012"
"101410","1977","Graduate","Married","42014","3","2012"
"101859","1985","Undergraduate","Together","7500","3","2012"
"101940","1980","Graduate","Married","43586","3","2012"
"100595","1973","High School","Married","18978","3","2012"
"100596","1969","PhD","Single","48240","1","2012"
"101858","1949","Master","Together","49912","3","2012"
"101850","1972","Graduate","Together","30261","5","2012"
"101846","1958","Graduate","Single","68281","1","2012"
"100174","1975","PhD","Married","80427","3","2012"
"100601","1960","Master","Married","30522","3","2012"
"100175","1948","PhD","Married","83837","2","2012"
"101838","1970","Graduate","Married","63684","3","2012"
"101407","1959","Graduate","Together","71706","3","2012"
"101835","1970","Graduate","Married","22979","3","2012"
"101830","1975","PhD","Together","56559","3","2012"
"101829","1975","Graduate","Married","79205","2","2012"
"101938","1976","Master","Together","37509","3","2012"
"100609","1960","Graduate","Together","70971","3","2012"
"100610","1977","PhD","Divorced","34487","3","2012"
"100611","1977","Graduate","Single","28769","2","2012"
"100329","1960","Graduate","Divorced","62204","3","2012"
"101406","1969","PhD","Together","53374","3","2012"
"101393","1976","Undergraduate","Together","75484","3","2012"
"100330","1968","Graduate","Divorced","75693","1","2012"
"101386","1958","Graduate","Married","65148","3","2012"
"100331","1972","Graduate","Married","30675","3","2012"
"101814","1984","Master","Single","31385","2","2012"
"100619","1950","Master","Divorced","63120","2","2012"
"100333","1988","Graduate","Single","68655","1","2012"
"101385","1969","PhD","Married","94871","4","2012"
"100622","1959","PhD","Divorced","62859","2","2012"
"101811","1963","Undergraduate","Married","32632","2","2012"
"100335","1969","PhD","Married","55212","3","2012"
"100183","1983","Graduate","Married","25271","3","2012"
"101795","1956","Graduate","Single","46998","2","2012"
"101937","1971","Graduate","Divorced","25818","2","2012"
"101373","1974","PhD","Married","38410","2","2012"
"100095","1960","Graduate","Widow","47916","2","2012"
"101370","1971","Graduate","Divorced","43300","2","2012"
"100631","1985","Graduate","Together","29103","3","2012"
"100632","1974","Graduate","Married","67445","3","2012"
"101369","1965","PhD","Together","32727","2","2012"
"100634","1955","Graduate","Divorced","49431","2","2012"
"101362","1957","Graduate","Married","52852","3","2012"
"101361","1971","Undergraduate","Married","78041","2","2012"
"101649","1979","Undergraduate","Together","60839","4","2012"
"100341","1971","Graduate","Widow","30372","3","2012"
"100639","1963","Graduate","Together","56253","3","2012"
"101647","1973","Graduate","Married","49094","3","2012"
"100641","1980","High School","Married","25965","2","2012"
"100006","1971","Graduate","Divorced","55635","2","2012"
"100643","1959","Graduate","Married","18690","2","2012"
"100188","1978","High School","Together","24882","3","2012"
"102013","1980","Graduate","Married","61014","3","2012"
"100346","1974","Graduate","Married","72099","2","2012"
"100347","1976","PhD","Single","60000","2","2012"
"100049","1954","PhD","Married","72550","4","2012"
"102012","1968","Graduate","Single","35893","3","2012"
"100650","1970","Graduate","Widow","66731","2","2012"
"100350","1969","PhD","Married","68462","2","2012"
"101358","1948","Master","Widow","78427","1","2012"
"100653","1963","PhD","Married","81300","3","2012"
"101357","1979","Graduate","Together","21645","3","2012"
"101929","1981","PhD","Together","44953","2","2012"
"101791","1976","PhD","Together","72335","2","2012"
"100353","1957","Graduate","Married","78618","2","2012"
"100658","1967","Graduate","Divorced","68743","1","2012"
"101646","1967","Graduate","Single","46904","3","2012"
"101643","1968","Graduate","Married","64590","2","2012"
"100356","1967","Graduate","Married","51479","4","2012"
"100357","1969","Graduate","Single","54803","2","2012"
"100663","1972","PhD","Single","86857","1","2012"
"100664","1982","PhD","Married","160803","2","2012"
"101333","1977","PhD","Married","69389","3","2012"
"100051","1964","Master","Married","79143","2","2012"
"100667","1960","PhD","Divorced","50611","2","2012"
"102034","1986","Graduate","Single","26816","1","2012"
"100360","1962","Graduate","Together","72025","2","2012"
"100361","1975","PhD","Single","52614","2","2012"
"101641","1979","High School","Single","20194","2","2012"
