"customer_key","year_birth","age_in_2014","generation","education","marital_status","living_situation","income","kidhome","teenhome","dt_customer","is_parent","household_size"
"100000","1957","57","Baby Boomer","Graduate","Single","Alone","58138","0","0","2012-04-09 00:00:00","false","1"
"100001","1954","60","Baby Boomer","Graduate","Single","Alone","46344","1","1","2014-08-03 00:00:00","true","3"
"100015","1946","68","Baby Boomer","PhD","Single","Alone","82800","0","0","2012-11-24 00:00:00","false","1"
"100019","1985","29","Millennial","Undergraduate","Single","Alone","33812","1","0","2012-03-11 00:00:00","true","2"
"100025","1969","45","Gen X","Graduate","Single","Alone","18589","0","0","2013-02-01 00:00:00","false","1"
"100027","1986","28","Millennial","Graduate","Single","Alone","51381","1","0","2013-02-20 00:00:00","true","2"
"100035","1951","63","Baby Boomer","Master","Single","Alone","49389","1","1","2013-08-29 00:00:00","true","3"
"100043","1959","55","Baby Boomer","PhD","Single","Alone","51381","0","0","2013-05-11 00:00:00","false","1"
"100045","1976","38","Gen X","Graduate","Single","Alone","79941","0","0","2014-06-28 00:00:00","false","1"
"100048","1951","63","Baby Boomer","Graduate","Single","Alone","51381","2","1","2014-01-01 00:00:00","true","4"
"100052","1977","37","Gen X","Graduate","Single","Alone","35790","1","0","2013-02-01 00:00:00","true","2"
"100057","1988","26","Millennial","Graduate","Single","Alone","27938","1","0","2014-04-28 00:00:00","true","2"
"100058","1982","32","Millennial","Graduate","Single","Alone","51381","1","0","2013-06-17 00:00:00","true","2"
"100060","1982","32","Millennial","Master","Single","Alone","75777","0","0","2013-04-07 00:00:00","false","1"
"100062","1952","62","Baby Boomer","Graduate","Single","Alone","61823","0","1","2013-02-18 00:00:00","true","2"
"100067","1979","35","Gen X","Undergraduate","Single","Alone","88194","0","1","2014-03-19 00:00:00","true","2"
"100077","1976","38","Gen X","Graduate","Single","Alone","75825","0","0","2012-12-10 00:00:00","false","1"
"100080","1985","29","Millennial","Graduate","Single","Alone","29760","1","0","2012-08-29 00:00:00","true","2"
"100086","1957","57","Baby Boomer","Graduate","Single","Alone","50388","0","1","2014-05-28 00:00:00","true","2"
"100090","1957","57","Baby Boomer","Graduate","Single","Alone","51381","1","1","2014-05-27 00:00:00","true","3"
"100092","1972","42","Gen X","Master","Single","Alone","42394","1","0","2014-03-23 00:00:00","true","2"
"100099","1960","54","Baby Boomer","Undergraduate","Single","Alone","47823","0","1","2013-07-23 00:00:00","true","2"
"100100","1959","55","Baby Boomer","PhD","Single","Alone","34554","0","1","2014-03-30 00:00:00","true","2"
"100107","1978","36","Gen X","Graduate","Single","Alone","38557","1","0","2012-12-19 00:00:00","true","2"
"100110","1991","23","Millennial","PhD","Single","Alone","68126","0","0","2012-10-11 00:00:00","false","1"
"100112","1991","23","Millennial","Graduate","Single","Alone","86037","0","0","2013-02-01 00:00:00","false","1"
"100114","1962","52","Baby Boomer","Graduate","Single","Alone","50785","1","1","2013-10-09 00:00:00","true","3"
"100120","1967","47","Gen X","Master","Single","Alone","32557","1","0","2014-02-24 00:00:00","true","2"
"100123","1983","31","Millennial","Graduate","Single","Alone","101970","0","0","2013-12-03 00:00:00","false","1"
"100125","1984","30","Millennial","Graduate","Single","Alone","79607","0","0","2013-04-21 00:00:00","false","1"
"100139","1992","22","Millennial","Master","Single","Alone","92859","0","0","2012-10-19 00:00:00","false","1"
"100142","1974","40","Gen X","PhD","Single","Alone","68352","0","1","2013-08-28 00:00:00","true","2"
"100155","1958","56","Baby Boomer","Graduate","Single","Alone","49967","0","1","2013-08-07 00:00:00","true","2"
"100156","1978","36","Gen X","Graduate","Single","Alone","60199","1","2","2013-12-09 00:00:00","true","4"
"100158","1955","59","Baby Boomer","Graduate","Single","Alone","80317","0","0","2013-08-20 00:00:00","false","1"
"100159","1958","56","Baby Boomer","Master","Single","Alone","30523","2","1","2013-01-07 00:00:00","true","4"
"100167","1988","26","Millennial","Graduate","Single","Alone","66951","0","0","2013-02-11 00:00:00","false","1"
"100173","1967","47","Gen X","Graduate","Single","Alone","52074","0","1","2014-04-04 00:00:00","true","2"
"100184","1970","44","Gen X","PhD","Single","Alone","32303","0","1","2014-08-03 00:00:00","true","2"
"100196","1973","41","Gen X","PhD","Single","Alone","46854","1","1","2014-03-31 00:00:00","true","3"
"100198","1968","46","Gen X","Graduate","Single","Alone","75922","0","0","2013-09-12 00:00:00","false","1"
"100201","1965","49","Gen X","PhD","Single","Alone","40637","1","1","2013-07-17 00:00:00","true","3"
"100202","1984","30","Millennial","Master","Single","Alone","18890","0","0","2012-10-11 00:00:00","false","1"
"100213","1978","36","Gen X","Undergraduate","Single","Alone","52195","2","1","2014-12-05 00:00:00","true","4"
"100227","1966","48","Gen X","Graduate","Single","Alone","37070","1","1","2013-03-20 00:00:00","true","3"
"100230","1951","63","Baby Boomer","Graduate","Single","Alone","15033","0","0","2014-04-16 00:00:00","false","1"
"100234","1958","56","Baby Boomer","PhD","Single","Alone","79761","0","1","2013-04-10 00:00:00","true","2"
